1,*********************,*********************
2,global_rounds,id_list
3,0,"[13, 2, 17, 5, 10, 0, 6, 11, 7, 3]"
4,1,"[13, 16, 18, 5, 19, 2, 0, 4, 10, 17]"
5,2,"[19, 4, 17, 7, 18, 9, 2, 8, 0, 16]"
1,*********************,*********************
2,global_rounds,id_list
3,0,"[6, 13, 2, 4, 5, 17, 9, 16, 7, 10]"
4,1,"[11, 17, 2, 4, 6, 8, 16, 7, 18, 3]"
5,2,"[8, 12, 3, 14, 17, 1, 15, 6, 13, 4]"
1,*********************,*********************
2,global_rounds,id_list
3,0,"[10, 17, 3, 0, 18, 2, 5, 19, 12, 13]"
4,1,"[14, 12, 10, 13, 2, 15, 0, 9, 5, 17]"
5,2,"[8, 18, 10, 7, 9, 3, 12, 0, 4, 19]"
1,global_rounds,id_list
2,0,"[13, 17, 12, 11, 5, 8, 10, 0, 7, 16]"
3,1,"[4, 10, 3, 5, 8, 14, 0, 2, 16, 12]"
4,2,"[18, 4, 16, 12, 13, 17, 19, 14, 9, 6]"
5,3,"[10, 3, 5, 16, 11, 4, 7, 15, 2, 0]"
1,global_rounds,id_list
2,0,"[0, 7, 4, 6, 18, 17, 9, 13, 19, 11]"
3,1,"[4, 17, 8, 18, 19, 1, 9, 15, 2, 7]"
4,2,"[7, 16, 15, 6, 1, 4, 19, 3, 5, 2]"
5,3,"[11, 8, 13, 4, 5, 12, 14, 3, 16, 0]"
1,global_rounds,id_list
2,0,"[15, 7, 10, 2, 8, 0, 3, 14, 5, 16]"
3,1,"[5, 10, 15, 16, 9, 1, 8, 13, 4, 18]"
4,2,"[9, 2, 7, 4, 14, 15, 19, 1, 3, 5]"
5,3,"[16, 11, 7, 12, 8, 4, 5, 2, 19, 14]"
1,global_rounds,id_list
2,0,"[3, 15, 12, 1, 4, 11, 18, 10, 6, 16]"
3,1,"[2, 19, 8, 14, 11, 5, 18, 12, 1, 13]"
4,2,"[10, 2, 5, 15, 11, 0, 17, 14, 19, 9]"
5,3,"[3, 7, 0, 11, 18, 13, 17, 16, 1, 9]"
1,global_rounds,id_list
2,0,"[4, 12, 10, 3, 13, 14, 6, 5, 19, 16]"
3,1,"[12, 18, 14, 7, 13, 17, 15, 9, 6, 1]"
4,2,"[0, 16, 10, 12, 15, 17, 18, 19, 6, 9]"
5,3,"[11, 12, 17, 0, 3, 19, 14, 5, 9, 6]"
1,global_rounds,id_list
2,0,"[8, 11, 4, 10, 3, 0, 19, 5, 6, 18]"
3,1,"[0, 5, 3, 9, 4, 18, 6, 10, 2, 1]"
4,2,"[7, 15, 9, 3, 4, 14, 19, 5, 11, 1]"
5,3,"[10, 5, 19, 16, 9, 6, 12, 15, 18, 7]"
1,global_rounds,id_list
2,0,"[4, 10, 3, 1, 17, 12, 9, 11, 18, 14]"
3,1,"[16, 0, 17, 9, 18, 3, 2, 4, 13, 11]"
4,2,"[3, 10, 14, 17, 18, 16, 4, 0, 2, 9]"
5,3,"[13, 2, 6, 9, 3, 18, 17, 12, 1, 0]"
1,global_rounds,id_list
2,0,"[15, 12, 5, 3, 4, 11, 16, 9, 19, 17]"
3,1,"[2, 8, 6, 7, 9, 16, 14, 0, 1, 3]"
4,2,"[1, 3, 7, 6, 11, 5, 4, 18, 12, 19]"
5,3,"[12, 14, 9, 17, 19, 8, 1, 7, 4, 16]"
1,global_rounds,id_list
2,0,"[17, 1, 4, 5, 10, 9, 2, 8, 11, 18]"
3,1,"[1, 2, 14, 11, 5, 17, 16, 12, 7, 15]"
4,2,"[16, 11, 5, 12, 15, 17, 9, 7, 4, 10]"
5,3,"[3, 15, 6, 7, 12, 5, 0, 17, 13, 9]"
1,global_rounds,id_list
2,0,"[12, 11, 9, 14, 17, 4, 10, 3, 19, 8]"
3,1,"[5, 14, 3, 9, 19, 16, 12, 4, 7, 18]"
