1,clientid,distance,error
2,0,168.2594959959101,"[0.013743019799075726, 0.011826659514342492]"
3,1,174.37781668656552,"[0.005267338182610006, 0.0027932598795264193]"
4,2,181.07903904559686,"[0.03560168344294652, 0.006400142983766273, 0.00542257011635229, 0.005202223631204106]"
5,3,175.4636486445999,[0.009220922424063726]
6,4,166.78258478912414,"[0.007283104513646343, 0.00657070357554774]"
7,5,176.74105245269047,"[0.0012534031303710507, 0.0009819085323840074, 0.0008886288879567664]"
8,6,168.78738686567038,[0.000396186710637011]
9,7,173.92749948867672,"[0.01489912598341141, 0.013228575769319849, 0.012855223438017212]"
10,8,181.35124408069495,"[0.01812271303324788, 0.014938111717088354, 0.011806154533944749]"
11,9,177.27036557616654,"[0.001816834463728684, 0.001183272054195696, 0.0008716961524186874, 0.0006088592399308602]"
12,10,178.19314489644913,"[0.0049794903027647166, 0.0034789139310714232, 0.0027172581815249758]"
13,11,174.77462053637896,[0.0025149273905702373]
14,12,171.31149375252784,"[0.005211024757855657, 0.004930676348060886]"
15,13,180.2943843630986,[0.00700987922513837]
16,14,169.56222181664234,"[0.0095202848092274, 0.007388680455249229]"
17,15,184.55005558709823,[0.02118515819311142]
18,16,174.8678682873961,[0.002095986569015792]
19,17,176.52644364632104,"[0.0015448280836718297, 0.0014264344136523809]"
20,18,173.30644498313856,[0.0033028264611995586]
21,19,170.56696909020948,[0.003731067845825093]
1,clientid,distance,error
2,0,168.2594959959101,"[0.01602144706652284, 0.013627081228904216, 0.011605445211121845]"
3,1,174.37781668656552,[]
4,2,181.07903904559686,"[0.005208908395143225, 0.004697203345131129]"
5,3,175.4636486445999,[]
6,4,166.78258478912414,[0.0073292396490538]
7,5,176.74105245269047,"[0.001776145176971961, 0.0012057953472729786, 0.0008863284963090305]"
8,6,168.78738686567038,"[0.000396186710637011, 0.00037020940851341513]"
9,7,173.92749948867672,"[0.01489912598341141, 0.01257085665392707]"
10,8,181.35124408069495,[0.015656027432393145]
11,9,177.27036557616654,"[0.001816834463728684, 0.0013043731929662887, 0.0009505460432499321]"
12,10,178.19314489644913,"[0.004095800617563256, 0.002955603754877772]"
13,11,174.77462053637896,"[0.0028156344791437434, 0.0024275442925706377]"
14,12,171.31149375252784,"[0.005211024757855657, 0.005010972673992906, 0.004681136397060311]"
15,13,180.2943843630986,"[0.005383517096013568, 0.0032607235590118794, 0.002998285143569644]"
16,14,169.56222181664234,"[0.0095202848092274, 0.007326516998987014]"
17,15,184.55005558709823,"[0.018068061619997026, 0.010007401369512081]"
18,16,174.8678682873961,"[0.002235416551117856, 0.0018537965832949076]"
19,17,176.52644364632104,[0.0016184690235908396]
20,18,173.30644498313856,"[0.004852547839059141, 0.0033516903131786766, 0.0024990166153293102, 0.0023374138407535644]"
21,19,170.56696909020948,"[0.004294479959380343, 0.003761224136239756]"
1,clientid,distance,error
2,0,168.2594959959101,"[0.01602144706652284, 0.01380815697376127, 0.012561360175989694, 0.011324527932299397]"
